"rgn_id","species","sust_coeff"
5,"Pacific cupped oyster",0.83
11,"Pacific cupped oyster",0.83
1,"Pacific cupped oyster",0.83
10,"Pacific cupped oyster",0.83
7,"Pacific cupped oyster",0.83
2,"Pacific cupped oyster",0.83
6,"Pacific cupped oyster",0.83
9,"Pacific cupped oyster",0.83
4,"Rainbow trout",0.566666667
8,"Rainbow trout",0.566666667
3,"Rainbow trout",0.566666667
5,"Rainbow trout",0.566666667
11,"Rainbow trout",0.566666667
1,"Rainbow trout",0.566666667
10,"Rainbow trout",0.566666667
7,"Rainbow trout",0.566666667
2,"Rainbow trout",0.566666667
6,"Rainbow trout",0.566666667
9,"Rainbow trout",0.566666667
4,"Salmonids nei",0.444010417
8,"Salmonids nei",0.444010417
3,"Salmonids nei",0.444010417
5,"Salmonids nei",0.444010417
11,"Salmonids nei",0.444010417
1,"Salmonids nei",0.444010417
10,"Salmonids nei",0.444010417
7,"Salmonids nei",0.444010417
2,"Salmonids nei",0.444010417
6,"Salmonids nei",0.444010417
9,"Salmonids nei",0.444010417
4,"Scallops nei",0.833333333
8,"Scallops nei",0.833333333
3,"Scallops nei",0.833333333
5,"Scallops nei",0.833333333
11,"Scallops nei",0.833333333
1,"Scallops nei",0.833333333
10,"Scallops nei",0.833333333
7,"Scallops nei",0.833333333
2,"Scallops nei",0.833333333
6,"Scallops nei",0.833333333
9,"Scallops nei",0.833333333
